                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.56524,                0.48387,                 1.0018,                0.82236,                0.91879,                0.89987,                0.70379,                0.59447,                0.55561,                 1.0258,             0.00053225,             0.00053225,             0.00053225
                     60,                0.53378,                0.45692,                0.95875,                0.83132,                0.89631,                0.91998,                0.71842,                0.60081,                0.52649,                 1.0411,             0.00051988,             0.00051988,             0.00051988
                     61,                0.54595,                 0.4701,                0.99486,                 0.8736,                0.86045,                0.92251,                0.72666,                0.59397,                0.49538,                 1.0665,              0.0005075,              0.0005075,              0.0005075
                     62,                0.50867,                0.44264,                0.94706,                0.83987,                0.84021,                0.89728,                0.69909,                0.62751,                0.51518,                 1.0706,             0.00049513,             0.00049513,             0.00049513
                     63,                0.51763,                0.43463,                0.96866,                0.82318,                0.84055,                0.89238,                0.69892,                0.59722,                0.51106,                 1.0543,             0.00048275,             0.00048275,             0.00048275
                     64,                0.50035,                0.43517,                0.93846,                0.84641,                 0.8248,                0.89562,                0.71365,                0.56311,                0.50615,                 1.0398,             0.00047038,             0.00047038,             0.00047038
                     65,                0.48975,                0.41127,                0.94974,                0.82289,                0.87676,                 0.8905,                0.69747,                0.56582,                0.49916,                 1.0204,               0.000458,               0.000458,               0.000458
                     66,                0.48584,                0.40774,                0.93558,                0.83355,                0.87332,                 0.8877,                0.69417,                0.55237,                0.50563,                 1.0046,             0.00044563,             0.00044563,             0.00044563
                     67,                0.52227,                0.43218,                0.97034,                0.84331,                 0.8759,                0.88382,                 0.6979,                0.53674,                0.50025,                  1.004,             0.00043325,             0.00043325,             0.00043325
                     68,                0.50185,                0.43038,                0.95919,                0.84181,                0.88753,                 0.8771,                0.69228,                 0.5559,                0.51771,                 1.0109,             0.00042087,             0.00042087,             0.00042087
                     69,                0.49033,                0.42876,                0.95233,                0.80846,                0.90263,                0.87573,                0.68996,                0.56423,                0.52641,                 1.0337,              0.0004085,              0.0004085,              0.0004085
                     70,                0.49004,                0.43779,                0.95365,                0.82593,                0.84055,                0.87298,                0.68887,                0.52869,                0.55016,                 1.0022,             0.00039613,             0.00039613,             0.00039613
                     71,                0.50059,                0.42751,                0.95633,                0.83668,                0.83439,                0.88428,                0.70166,                0.55946,                0.53064,                 1.0154,             0.00038375,             0.00038375,             0.00038375
                     72,                0.50626,                0.41889,                0.96315,                0.84895,                0.81933,                 0.8877,                0.70494,                0.55427,                0.52466,                 1.0235,             0.00037138,             0.00037138,             0.00037138
                     73,                0.48049,                0.42338,                0.95891,                0.85418,                 0.8558,                0.91131,                0.71078,                0.53888,                0.52255,                 1.0127,               0.000359,               0.000359,               0.000359
                     74,                0.45715,                0.40539,                0.93444,                0.84732,                0.86345,                0.91647,                0.71801,                0.52293,                0.50575,                 1.0019,             0.00034663,             0.00034663,             0.00034663
                     75,                0.48023,                0.40895,                0.94355,                0.82756,                0.86803,                0.90173,                0.71341,                0.53557,                0.52203,                 1.0127,             0.00033425,             0.00033425,             0.00033425
                     76,                0.48325,                0.40391,                0.93852,                0.82735,                0.86479,                0.89986,                0.71513,                0.55102,                 0.4868,                  1.021,             0.00032188,             0.00032188,             0.00032188
